video,category,true_label,prediction,fake_prob,real_prob
00268.mp4,RealVideo-RealAudio,0,1,0.84521484375,0.1590576171875
00191.mp4,RealVideo-RealAudio,0,0,0.495361328125,0.50439453125
00031.mp4,RealVideo-RealAudio,0,0,0.36865234375,0.63525390625
03168.mp4,RealVideo-RealAudio,0,1,0.85546875,0.152587890625
00019.mp4,RealVideo-RealAudio,0,1,0.50244140625,0.49853515625
00093.mp4,RealVideo-RealAudio,0,0,0.341064453125,0.6611328125
00384.mp4,RealVideo-RealAudio,0,0,0.378173828125,0.6259765625
00122.mp4,RealVideo-RealAudio,0,0,0.3427734375,0.6591796875
00019.mp4,RealVideo-RealAudio,0,1,0.90673828125,0.09588623046875
00382.mp4,RealVideo-RealAudio,0,1,0.8203125,0.1845703125
00311.mp4,RealVideo-RealAudio,0,0,0.337646484375,0.6650390625
00146.mp4,RealVideo-RealAudio,0,0,0.427734375,0.57470703125
00320.mp4,RealVideo-RealAudio,0,0,0.423828125,0.5791015625
00180.mp4,RealVideo-RealAudio,0,0,0.4140625,0.58935546875
00138.mp4,RealVideo-RealAudio,0,0,0.368408203125,0.63623046875
00187.mp4,RealVideo-RealAudio,0,0,0.440185546875,0.56201171875
00317.mp4,RealVideo-RealAudio,0,0,0.42431640625,0.5791015625
002121.mp4,RealVideo-RealAudio,0,1,0.97314453125,0.029876708984375
00424.mp4,RealVideo-RealAudio,0,0,0.344970703125,0.6572265625
00249.mp4,RealVideo-RealAudio,0,0,0.347900390625,0.65576171875
00405.mp4,RealVideo-RealAudio,0,0,0.3349609375,0.66748046875
00307.mp4,RealVideo-RealAudio,0,1,0.6611328125,0.3427734375
00051.mp4,RealVideo-RealAudio,0,1,0.52685546875,0.474365234375
00019.mp4,RealVideo-RealAudio,0,0,0.352294921875,0.65087890625
00111.mp4,RealVideo-RealAudio,0,1,0.5654296875,0.434326171875
00405_fake.mp4,RealVideo-FakeAudio,1,1,0.9375,0.06500244140625
00191_fake.mp4,RealVideo-FakeAudio,1,1,0.98388671875,0.017578125
00031_fake.mp4,RealVideo-FakeAudio,1,1,0.96826171875,0.03271484375
00268_fake.mp4,RealVideo-FakeAudio,1,1,0.95556640625,0.04638671875
02561_fake.mp4,RealVideo-FakeAudio,1,1,0.93115234375,0.0709228515625
00019_fake.mp4,RealVideo-FakeAudio,1,1,0.94384765625,0.058441162109375
00257_fake.mp4,RealVideo-FakeAudio,1,1,0.9462890625,0.055938720703125
00384_fake.mp4,RealVideo-FakeAudio,1,1,0.9521484375,0.0496826171875
00122_fake.mp4,RealVideo-FakeAudio,1,0,0.421142578125,0.58203125
00111_fake.mp4,RealVideo-FakeAudio,1,1,0.9580078125,0.043365478515625
00019_fake.mp4,RealVideo-FakeAudio,1,1,0.9580078125,0.04351806640625
00019_fake.mp4,RealVideo-FakeAudio,1,1,0.94091796875,0.061187744140625
00320_fake.mp4,RealVideo-FakeAudio,1,1,0.96484375,0.0364990234375
00311_fake.mp4,RealVideo-FakeAudio,1,1,0.60791015625,0.394775390625
00146_fake.mp4,RealVideo-FakeAudio,1,1,0.927734375,0.0753173828125
00161_fake.mp4,RealVideo-FakeAudio,1,1,0.8984375,0.10540771484375
00138_fake.mp4,RealVideo-FakeAudio,1,1,0.90380859375,0.09930419921875
00187_fake.mp4,RealVideo-FakeAudio,1,1,0.9228515625,0.07989501953125
03168_fake.mp4,RealVideo-FakeAudio,1,1,0.99755859375,0.0027790069580078125
00382_fake.mp4,RealVideo-FakeAudio,1,1,0.9208984375,0.081787109375
002121_fake.mp4,RealVideo-FakeAudio,1,1,0.99853515625,0.0020198822021484375
00424_fake.mp4,RealVideo-FakeAudio,1,1,0.71142578125,0.29345703125
00249_fake.mp4,RealVideo-FakeAudio,1,1,0.81787109375,0.1866455078125
00093_fake.mp4,RealVideo-FakeAudio,1,1,0.89013671875,0.11279296875
00307_fake.mp4,RealVideo-FakeAudio,1,1,0.90869140625,0.094482421875
00051_fake.mp4,RealVideo-FakeAudio,1,1,0.9580078125,0.04345703125
00317_fake.mp4,RealVideo-FakeAudio,1,1,0.78173828125,0.2235107421875
00180_fake.mp4,RealVideo-FakeAudio,1,1,0.94091796875,0.06097412109375
00069_id04111_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.58935546875,0.41259765625
00320_id01835_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.53466796875,0.4658203125
00054_id04582_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.36328125,0.640625
00186_id00414_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.44580078125,0.556640625
00083_id06753_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.447265625,0.55419921875
00021_id06807_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.355712890625,0.64501953125
00078_id00460_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.42041015625,0.5830078125
00072_id03620_YkXM5A8w07E.mp4,FakeVideo-RealAudio,1,0,0.484130859375,0.51611328125
00065_id02948__ZEDGNWjuFE.mp4,FakeVideo-RealAudio,1,1,0.55419921875,0.445556640625
00015_id00097_PchMB8-P1lw.mp4,FakeVideo-RealAudio,1,0,0.33447265625,0.66748046875
00044_id00366_RSOgEoek8WM.mp4,FakeVideo-RealAudio,1,0,0.499755859375,0.50146484375
00017_id00518_qm7oQcDg4oI.mp4,FakeVideo-RealAudio,1,0,0.395263671875,0.60888671875
00072_id04540_9KNIjew03AQ.mp4,FakeVideo-RealAudio,1,0,0.35791015625,0.6455078125
00114_id07194_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.78662109375,0.2183837890625
00021_id00103_qpTVaP4y5DQ.mp4,FakeVideo-RealAudio,1,0,0.377197265625,0.62744140625
00028_id03941_SsYtP8Ze88Q.mp4,FakeVideo-RealAudio,1,0,0.416748046875,0.58642578125
00167_id00391_TjJgUZaenWI.mp4,FakeVideo-RealAudio,1,0,0.370361328125,0.6328125
00028_id00769_BqHVSZdoVpM.mp4,FakeVideo-RealAudio,1,1,0.51318359375,0.489013671875
00072_id00434_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.359375,0.64404296875
00300_id00097_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.33056640625,0.67041015625
00063_id00860_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.5400390625,0.45947265625
00130_id00305_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.53173828125,0.47021484375
00417_id00488_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.386474609375,0.6171875
00052_id01544_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.466796875,0.53466796875
00032_id09174_Qspzu6tyArc.mp4,FakeVideo-RealAudio,1,0,0.345458984375,0.6572265625
00015_id00462_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.5458984375,0.455322265625
00253_id01182_zca-PHR_U40.mp4,FakeVideo-RealAudio,1,0,0.35400390625,0.64892578125
00231_id07236_Fe0sdHw3sc4.mp4,FakeVideo-RealAudio,1,0,0.346435546875,0.6572265625
00005_id07383_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.6171875,0.3857421875
00347_id07768_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.51416015625,0.488037109375
00160_id00971_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.346923828125,0.65478515625
00174_id02824_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.429443359375,0.5732421875
00001_id04939_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.3447265625,0.658203125
00043_id01004_867Wlj7Gw68_faceswap.mp4,FakeVideo-RealAudio,1,0,0.4189453125,0.58447265625
00002_id04374_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.327880859375,0.6748046875
00283_2.mp4,FakeVideo-RealAudio,1,1,0.8974609375,0.105224609375
00336_id01048_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.73583984375,0.2685546875
00053_id06343_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.43212890625,0.57080078125
00006_id01933_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.384521484375,0.61962890625
00017_id01157_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.352783203125,0.64990234375
00005_id00068_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.358154296875,0.64501953125
00051_id05268_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.31689453125,0.6845703125
00028_id00261_gYQ5Scz5FnA.mp4,FakeVideo-RealAudio,1,0,0.359130859375,0.6435546875
00028_id00832_Jr4-dXRChME.mp4,FakeVideo-RealAudio,1,0,0.373779296875,0.62890625
00040_id00365_XV-imLNJvfk.mp4,FakeVideo-RealAudio,1,0,0.33251953125,0.66796875
00023_id03559_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.53173828125,0.469970703125
00280_id00088_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.337158203125,0.66455078125
00026_id00582_9gvF6IohoUI.mp4,FakeVideo-RealAudio,1,0,0.412353515625,0.5908203125
00065_id03747_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.348876953125,0.65380859375
00028_id02051_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.86181640625,0.1416015625
00221_id07194_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.76513671875,0.23974609375
00025_id00488_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.388916015625,0.61572265625
00424_0.mp4,FakeVideo-RealAudio,1,0,0.33056640625,0.67138671875
00021_id00350_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.59912109375,0.402587890625
00083_id05235_ASy8lP3SRtw_faceswap.mp4,FakeVideo-RealAudio,1,0,0.387451171875,0.61669921875
00043_id01223_TO3ym8Gwp7k.mp4,FakeVideo-RealAudio,1,0,0.441162109375,0.56103515625
00231_id07689_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.5205078125,0.481201171875
00072_id01099_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.7578125,0.24853515625
00143_id01124_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.7314453125,0.273193359375
00025_id07901_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.333251953125,0.66845703125
00021_id01210_sMdOO7NqsGY.mp4,FakeVideo-RealAudio,1,1,0.892578125,0.1104736328125
00167_id00775_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.66796875,0.33544921875
00118_id04601_x4Apx8z6nOg.mp4,FakeVideo-RealAudio,1,0,0.423583984375,0.57958984375
00139_0.mp4,FakeVideo-RealAudio,1,0,0.3623046875,0.6416015625
00015_id02071_cHuDh9F87vA.mp4,FakeVideo-RealAudio,1,0,0.3603515625,0.642578125
00073_id09171_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.360107421875,0.642578125
00078_id00569_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.5791015625,0.421875
00186_id00082_wavtolip.mp4,FakeVideo-RealAudio,1,1,0.56298828125,0.437744140625
00015_id03940_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.439697265625,0.5625
00187_id00265_dZq57FoxXR4.mp4,FakeVideo-RealAudio,1,0,0.47998046875,0.521484375
00043_id00180_lkeAa8Od_tg.mp4,FakeVideo-RealAudio,1,0,0.42724609375,0.57568359375
00023_id05845_XfMHm6CEwPw.mp4,FakeVideo-RealAudio,1,1,0.59033203125,0.410888671875
00021_id00332_wavtolip.mp4,FakeVideo-RealAudio,1,0,0.403564453125,0.6005859375
