file,category,corruption,true_label,prediction,success,openavff_prob,visual_signal,fusion_prob
00015_clean.mp4,RealVideo-RealAudio,clean,0,real,True,0.5078125,0.0,0.40625
00015_video_crf40.mp4,RealVideo-RealAudio,video_crf40,0,real,True,0.5078125,0.15421411468585441,0.4370928229371709
00015_video_360p.mp4,RealVideo-RealAudio,video_360p,0,real,True,0.509765625,0.0,0.4078125
00015_video_dark.mp4,RealVideo-RealAudio,video_dark,0,real,True,0.51708984375,0.0,0.413671875
00015_audio_aac_32k.mp4,RealVideo-RealAudio,audio_aac_32k,0,real,True,0.50634765625,0.0,0.405078125
00015_audio_noise.mp4,RealVideo-RealAudio,audio_noise,0,real,True,0.5185546875,0.0,0.41484375
002121_clean.mp4,RealVideo-RealAudio,clean,0,real,True,0.4970703125,0.0,0.39765625000000004
002121_video_crf40.mp4,RealVideo-RealAudio,video_crf40,0,real,True,0.49609375,0.10293001945642809,0.41746100389128565
002121_video_dark.mp4,RealVideo-RealAudio,video_dark,0,real,True,0.497802734375,0.0,0.3982421875
002121_audio_aac_32k.mp4,RealVideo-RealAudio,audio_aac_32k,0,real,True,0.56103515625,0.0,0.448828125
002121_audio_noise.mp4,RealVideo-RealAudio,audio_noise,0,real,True,0.50390625,0.0,0.403125
00146_clean.mp4,RealVideo-RealAudio,clean,0,real,True,0.54638671875,0.0,0.437109375
00146_video_crf40.mp4,RealVideo-RealAudio,video_crf40,0,real,True,0.54443359375,0.0,0.435546875
00146_video_360p.mp4,RealVideo-RealAudio,video_360p,0,real,True,0.53125,0.0,0.42500000000000004
00146_video_dark.mp4,RealVideo-RealAudio,video_dark,0,real,True,0.5419921875,0.0,0.43359375
00146_audio_aac_32k.mp4,RealVideo-RealAudio,audio_aac_32k,0,real,True,0.55322265625,0.0,0.44257812500000004
00146_audio_noise.mp4,RealVideo-RealAudio,audio_noise,0,real,True,0.529296875,0.0,0.4234375
00028_clean.mp4,RealVideo-RealAudio,clean,0,real,True,0.4951171875,0.15804467453600352,0.4277026849072007
00028_video_crf40.mp4,RealVideo-RealAudio,video_crf40,0,real,True,0.49560546875,0.319999551547131,0.4604842853094262
00028_video_360p.mp4,RealVideo-RealAudio,video_360p,0,real,True,0.4921875,0.06907783825121318,0.40756556765024265
00028_video_dark.mp4,RealVideo-RealAudio,video_dark,0,real,True,0.50341796875,0.45213972640727607,0.49316232028145524
00028_audio_aac_32k.mp4,RealVideo-RealAudio,audio_aac_32k,0,real,True,0.494873046875,0.15804467453600352,0.4275073724072007
00028_audio_noise.mp4,RealVideo-RealAudio,audio_noise,0,real,True,0.50146484375,0.15804467453600352,0.4327808099072007
00050_clean.mp4,RealVideo-RealAudio,clean,0,real,True,0.513671875,0.008339811761901253,0.41260546235238027
00050_video_crf40.mp4,RealVideo-RealAudio,video_crf40,0,real,True,0.51708984375,0.0,0.413671875
00050_video_360p.mp4,RealVideo-RealAudio,video_360p,0,real,True,0.50537109375,0.0,0.404296875
00050_video_dark.mp4,RealVideo-RealAudio,video_dark,0,real,True,0.52001953125,0.0,0.416015625
00050_audio_aac_32k.mp4,RealVideo-RealAudio,audio_aac_32k,0,real,True,0.51123046875,0.008339811761901253,0.41065233735238027
00050_audio_noise.mp4,RealVideo-RealAudio,audio_noise,0,real,True,0.5283203125,0.008339811761901253,0.42432421235238027
00094_clean.mp4,RealVideo-RealAudio,clean,0,real,True,0.5068359375,0.11731025921787405,0.42893080184357485
00094_video_crf40.mp4,RealVideo-RealAudio,video_crf40,0,real,True,0.5068359375,0.11500089801409703,0.42846892960281946
00094_video_360p.mp4,RealVideo-RealAudio,video_360p,0,real,True,0.50244140625,0.1157213669939696,0.42509739839879396
00094_video_dark.mp4,RealVideo-RealAudio,video_dark,0,real,True,0.52685546875,0.0,0.421484375
00094_audio_aac_32k.mp4,RealVideo-RealAudio,audio_aac_32k,0,real,True,0.50537109375,0.11731025921787405,0.4277589268435748
00094_audio_noise.mp4,RealVideo-RealAudio,audio_noise,0,real,True,0.51220703125,0.11731025921787405,0.4332276768435748
00043_clean.mp4,RealVideo-RealAudio,clean,0,real,True,0.49609375,0.10743692973760359,0.41836238594752073
00043_video_crf40.mp4,RealVideo-RealAudio,video_crf40,0,real,True,0.495361328125,0.21017193600793527,0.4383234497015871
00043_video_360p.mp4,RealVideo-RealAudio,video_360p,0,real,True,0.49755859375,0.10666419875919106,0.4193797147518382
00043_video_dark.mp4,RealVideo-RealAudio,video_dark,0,real,True,0.50146484375,0.0,0.401171875
00043_audio_aac_32k.mp4,RealVideo-RealAudio,audio_aac_32k,0,real,True,0.50927734375,0.10743692973760359,0.42890926094752074
00043_audio_noise.mp4,RealVideo-RealAudio,audio_noise,0,real,True,0.496337890625,0.10743692973760359,0.4185576984475207
00015_clean.mp4,RealVideo-RealAudio,clean,0,real,True,0.5078125,0.0,0.40625
00015_video_crf40.mp4,RealVideo-RealAudio,video_crf40,0,real,True,0.5078125,0.15421411468585441,0.4370928229371709
00015_video_360p.mp4,RealVideo-RealAudio,video_360p,0,real,True,0.509765625,0.0,0.4078125
00015_video_dark.mp4,RealVideo-RealAudio,video_dark,0,real,True,0.51708984375,0.0,0.413671875
00015_audio_aac_32k.mp4,RealVideo-RealAudio,audio_aac_32k,0,real,True,0.50634765625,0.0,0.405078125
00015_audio_noise.mp4,RealVideo-RealAudio,audio_noise,0,real,True,0.5185546875,0.0,0.41484375
00048_clean.mp4,RealVideo-RealAudio,clean,0,real,True,0.50146484375,0.0,0.401171875
00048_video_crf40.mp4,RealVideo-RealAudio,video_crf40,0,real,True,0.501953125,0.04180223665832494,0.409922947331665
00048_video_360p.mp4,RealVideo-RealAudio,video_360p,0,real,True,0.498046875,0.0,0.3984375
00048_video_dark.mp4,RealVideo-RealAudio,video_dark,0,real,True,0.52099609375,0.0,0.416796875
00048_audio_aac_32k.mp4,RealVideo-RealAudio,audio_aac_32k,0,real,True,0.499755859375,0.0,0.39980468750000003
00048_audio_noise.mp4,RealVideo-RealAudio,audio_noise,0,real,True,0.505859375,0.0,0.40468750000000003
